date:number,ugeo:text,coicop_label:text,value:number,total:number,ratio:number
1996,Germany (until 1990 former territory of the FRG),Passenger transport by road,59.6,75.7,78.7
1996,Germany (until 1990 former territory of the FRG),Passenger cars,86.7,75.7,114.5
1996,Germany (until 1990 former territory of the FRG),Passenger transport by sea and inland waterway,67.9,75.7,89.7
1996,Greece,Passenger transport by road,39.37,61.31,64.2
1996,Greece,Passenger transport by air,36.47,61.31,59.5
1996,Greece,Transport,59.74,61.31,97.4
1996,Greece,Passenger transport by sea and inland waterway,51.93,61.31,84.7
1996,Greece,Passenger transport by railway,46.75,61.31,76.3
1996,Greece,Operation of personal transport equipment,47.21,61.31,77.0
1996,Greece,Passenger cars,130.87,61.31,213.5
1996,Hungary,Transport,35.68,31.76,112.3
1996,Iceland,Transport,38.5,43.26,89.0
1996,Iceland,Passenger cars,49.75,43.26,115.0
1996,Iceland,Passenger transport by air,36.18,43.26,83.6
1996,Iceland,Passenger transport by road,34.11,43.26,78.8
1996,Iceland,Operation of personal transport equipment,34.63,43.26,80.1
1996,Iceland,Passenger transport by sea and inland waterway,42.99,43.26,99.4
1996,Ireland,Passenger transport by air,68.9,69.1,99.7
1996,Ireland,Passenger cars,116.6,69.1,168.7
1996,Ireland,Passenger transport by road,45.2,69.1,65.4
1996,Ireland,Passenger transport by sea and inland waterway,58.8,69.1,85.1
1996,Ireland,Passenger transport by railway,47.6,69.1,68.9
1996,Ireland,Operation of personal transport equipment,53.3,69.1,77.1
1996,Ireland,Transport,72.1,69.1,104.3
1996,Italy,Passenger transport by sea and inland waterway,33.6,68.5,49.1
1996,Italy,Passenger transport by air,61.6,68.5,89.9
1996,Italy,Passenger cars,74.5,68.5,108.8
1996,Italy,Transport,63.2,68.5,92.3
1996,Italy,Passenger transport by railway,58.9,68.5,86.0
1996,Italy,Passenger transport by road,61.1,68.5,89.2
1996,Italy,Operation of personal transport equipment,59.8,68.5,87.3
1996,Latvia,Passenger transport by railway,21.0,46.72,44.9
1996,Latvia,Passenger cars,155.34,46.72,332.5
1996,Latvia,Operation of personal transport equipment,35.81,46.72,76.6
1996,Latvia,Transport,43.79,46.72,93.7
1996,Latvia,Passenger transport by road,30.1,46.72,64.4
1996,Lithuania,Passenger transport by road,27.58,57.61,47.9
1996,Lithuania,Passenger transport by railway,31.33,57.61,54.4
1996,Lithuania,Transport,49.37,57.61,85.7
1996,Lithuania,Passenger cars,218.63,57.61,379.5
1996,Lithuania,Operation of personal transport equipment,42.87,57.61,74.4
1996,Lithuania,Passenger transport by air,57.35,57.61,99.5
1996,Luxembourg,Passenger transport by road,54.17,65.63,82.5
1996,Luxembourg,Passenger transport by air,65.74,65.63,100.2
1996,Luxembourg,Passenger transport by railway,57.16,65.63,87.1
1996,Luxembourg,Operation of personal transport equipment,60.28,65.63,91.8
1996,Luxembourg,Passenger cars,81.01,65.63,123.4
1996,Luxembourg,Transport,69.14,65.63,105.3
1996,Malta,Transport,66.11,63.69,103.8
1996,Malta,Passenger transport by road,42.56,63.69,66.8
1996,Malta,Passenger transport by sea and inland waterway,59.21,63.69,93.0
1996,Malta,Operation of personal transport equipment,45.91,63.69,72.1
1996,Malta,Passenger transport by air,71.6,63.69,112.4
1996,Malta,Passenger cars,113.25,63.69,177.8
1996,Netherlands,Transport,63.85,68.83,92.8
1996,Netherlands,Operation of personal transport equipment,57.41,68.83,83.4
1996,Netherlands,Passenger transport by sea and inland waterway,97.38,68.83,141.5
1996,Netherlands,Passenger cars,81.27,68.83,118.1
1996,Netherlands,Passenger transport by road,52.78,68.83,76.7
1996,Netherlands,Passenger transport by air,49.68,68.83,72.2
1996,Netherlands,Passenger transport by railway,57.06,68.83,82.9
1996,Norway,Operation of personal transport equipment,48.6,70.0,69.4
1996,Norway,Passenger cars,81.0,70.0,115.7
1996,Norway,Passenger transport by air,66.6,70.0,95.1
1996,Norway,Passenger transport by railway,58.0,70.0,82.9
1996,Norway,Passenger transport by road,45.1,70.0,64.4
1996,Norway,Passenger transport by sea and inland waterway,46.8,70.0,66.9
1996,Norway,Transport,62.5,70.0,89.3
1996,Poland,Passenger transport by railway,35.9,46.2,77.7
1996,Poland,Passenger transport by air,43.9,46.2,95.0
1996,Poland,Passenger transport by road,33.5,46.2,72.5
1996,Poland,Transport,43.0,46.2,93.1
1996,Poland,Passenger cars,104.0,46.2,225.1
1996,Poland,Operation of personal transport equipment,34.4,46.2,74.5
1996,Poland,Passenger transport by sea and inland waterway,31.5,46.2,68.2
1996,Portugal,Transport,57.94,66.9,86.6
1996,Portugal,Passenger transport by sea and inland waterway,44.11,66.9,65.9
1996,Portugal,Operation of personal transport equipment,46.76,66.9,69.9
1996,Portugal,Passenger transport by railway,38.68,66.9,57.8
1996,Portugal,Passenger transport by road,47.22,66.9,70.6
1996,Portugal,Passenger cars,77.98,66.9,116.6
1996,Portugal,Passenger transport by air,56.71,66.9,84.8
1996,Romania,Transport,2.48,3.25,76.3
1996,Slovakia,Passenger transport by road,23.16,43.89,52.8
1996,Slovakia,Transport,59.68,43.89,136.0
1996,Slovakia,Passenger cars,192.04,43.89,437.5
1996,Slovakia,Passenger transport by railway,32.48,43.89,74.0
1996,Slovakia,Operation of personal transport equipment,51.59,43.89,117.5
1996,Slovakia,Passenger transport by air,57.54,43.89,131.1
1996,Slovenia,Transport,49.08,45.86,107.0
1996,Spain,Passenger cars,82.09,64.93,126.4
1996,Spain,Transport,61.69,64.93,95.0
1996,Spain,Operation of personal transport equipment,54.07,64.93,83.3
1996,Spain,Passenger transport by air,30.31,64.93,46.7
1996,Spain,Passenger transport by sea and inland waterway,41.28,64.93,63.6
1996,Spain,Passenger transport by railway,58.08,64.93,89.5
1996,Spain,Passenger transport by road,47.83,64.93,73.7
1996,Sweden,Transport,71.46,76.16,93.8
1996,Sweden,Passenger cars,111.03,76.16,145.8
1996,Sweden,Passenger transport by sea and inland waterway,68.74,76.16,90.3
1996,Sweden,Operation of personal transport equipment,59.57,76.16,78.2
1996,Sweden,Passenger transport by air,85.93,76.16,112.8
1996,Sweden,Passenger transport by road,57.3,76.16,75.2
1996,Sweden,Passenger transport by railway,64.27,76.16,84.4
1996,Turkey,Passenger transport by sea and inland waterway,1.39,1.57,88.5
1996,Turkey,Passenger transport by railway,1.37,1.57,87.3
1996,Turkey,Transport,1.49,1.57,94.9
1996,Turkey,Passenger transport by air,2.22,1.57,141.4
1996,Turkey,Operation of personal transport equipment,1.19,1.57,75.8
1996,Turkey,Passenger cars,2.52,1.57,160.5
1996,Turkey,Passenger transport by road,1.16,1.57,73.9
1996,United Kingdom,Passenger transport by road,47.9,68.8,69.6
1996,United Kingdom,Passenger transport by sea and inland waterway,43.1,68.8,62.6
1996,United Kingdom,Passenger transport by air,50.9,68.8,74.0
1996,United Kingdom,Passenger transport by railway,47.4,68.8,68.9
1996,United Kingdom,Operation of personal transport equipment,48.0,68.8,69.8
1996,United Kingdom,Transport,59.6,68.8,86.6
1996,United Kingdom,Passenger cars,113.8,68.8,165.4
1997,Austria,Operation of personal transport equipment,63.57,72.61,87.5
1997,Austria,Passenger cars,91.82,72.61,126.5
1997,Austria,Passenger transport by railway,60.24,72.61,83.0
1997,Austria,Passenger transport by road,62.9,72.61,86.6
1997,Austria,Transport,74.75,72.61,102.9
1997,Belgium,Passenger cars,82.89,71.54,115.9
1997,Belgium,Operation of personal transport equipment,58.75,71.54,82.1
1997,Belgium,Passenger transport by railway,74.75,71.54,104.5
1997,Belgium,Passenger transport by road,77.76,71.54,108.7
1997,Belgium,Transport,67.95,71.54,95.0
1997,Bulgaria,Operation of personal transport equipment,41.12,40.27,102.1
1997,Bulgaria,Passenger transport by air,61.66,40.27,153.1
1997,Bulgaria,Passenger transport by road,24.56,40.27,61.0
1997,Bulgaria,Passenger transport by railway,14.53,40.27,36.1
1997,Bulgaria,Passenger cars,144.07,40.27,357.8
1997,Bulgaria,Transport,38.75,40.27,96.2
1997,Cyprus,Passenger cars,169.33,69.02,245.3
1997,Cyprus,Transport,77.26,69.02,111.9
1997,Cyprus,Operation of personal transport equipment,46.19,69.02,66.9
1997,Cyprus,Passenger transport by air,96.59,69.02,139.9
1997,Cyprus,Passenger transport by road,50.79,69.02,73.6
1997,Czechia,Transport,77.5,63.6,121.9
1997,Denmark,Transport,71.1,73.0,97.4
1997,Denmark,Passenger transport by air,102.7,73.0,140.7
1997,Denmark,Operation of personal transport equipment,59.2,73.0,81.1
1997,Denmark,Passenger transport by road,58.5,73.0,80.1
1997,Denmark,Passenger transport by railway,60.5,73.0,82.9
1997,Denmark,Passenger cars,91.4,73.0,125.2
1997,Denmark,Passenger transport by sea and inland waterway,53.7,73.0,73.6
1997,Estonia,Passenger transport by sea and inland waterway,51.71,49.95,103.5
1997,Estonia,Passenger transport by road,32.14,49.95,64.3
1997,Estonia,Passenger transport by air,33.41,49.95,66.9
1997,Estonia,Operation of personal transport equipment,38.43,49.95,76.9
1997,Estonia,Passenger cars,196.44,49.95,393.3
1997,Estonia,Passenger transport by railway,37.29,49.95,74.7
1997,Estonia,Transport,52.75,49.95,105.6
1997,Euro area (18 countries),Transport,67.84,72.48,93.6
1997,Euro area (19 countries),Transport,67.83,72.44,93.6
1997,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Passenger transport by air,63.0,72.87,86.5
1997,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Transport,67.97,72.87,93.3
1997,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Passenger transport by sea and inland waterway,57.64,72.87,79.1
1997,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Operation of personal transport equipment,62.15,72.87,85.3
1997,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Passenger transport by railway,61.82,72.87,84.8
1997,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Passenger transport by road,61.84,72.87,84.9
1997,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Passenger cars,85.08,72.87,116.8
1997,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Passenger transport by air,59.67,71.45,83.5
1997,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Passenger transport by road,55.42,71.45,77.6
1997,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Operation of personal transport equipment,60.03,71.45,84.0
1997,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Passenger transport by sea and inland waterway,54.03,71.45,75.6
1997,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Passenger cars,92.23,71.45,129.1
1997,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Transport,67.05,71.45,93.8
1997,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Passenger transport by railway,57.44,71.45,80.4
1997,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Passenger transport by air,59.7,71.48,83.5
1997,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Operation of personal transport equipment,60.15,71.48,84.1
1997,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Passenger cars,92.54,71.48,129.5
1997,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Transport,67.13,71.48,93.9
1997,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Passenger transport by railway,57.44,71.48,80.4
1997,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Passenger transport by road,55.66,71.48,77.9
1997,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Passenger transport by sea and inland waterway,54.36,71.48,76.0
1997,Finland,Passenger transport by road,54.83,72.64,75.5
1997,Finland,Operation of personal transport equipment,62.56,72.64,86.1
1997,Finland,Passenger transport by air,110.2,72.64,151.7
1997,Finland,Passenger transport by sea and inland waterway,61.2,72.64,84.3
1997,Finland,Transport,77.52,72.64,106.7
1997,Finland,Passenger transport by railway,56.26,72.64,77.5
1997,Finland,Passenger cars,124.91,72.64,172.0
1997,France,Passenger cars,84.89,75.88,111.9
1997,France,Passenger transport by air,74.96,75.88,98.8
1997,France,Passenger transport by railway,65.71,75.88,86.6
1997,France,Passenger transport by sea and inland waterway,82.32,75.88,108.5
1997,France,Passenger transport by road,85.31,75.88,112.4
1997,France,Transport,70.61,75.88,93.1
1997,France,Operation of personal transport equipment,63.98,75.88,84.3
1997,Germany (until 1990 former territory of the FRG),Operation of personal transport equipment,67.2,76.9,87.4
1997,Germany (until 1990 former territory of the FRG),Transport,70.4,76.9,91.5
1997,Germany (until 1990 former territory of the FRG),Passenger transport by road,60.7,76.9,78.9
1997,Germany (until 1990 former territory of the FRG),Passenger transport by air,54.0,76.9,70.2
1997,Germany (until 1990 former territory of the FRG),Passenger transport by railway,61.6,76.9,80.1
1997,Germany (until 1990 former territory of the FRG),Passenger cars,86.5,76.9,112.5
1997,Germany (until 1990 former territory of the FRG),Passenger transport by sea and inland waterway,69.1,76.9,89.9
1997,Greece,Passenger transport by railway,47.33,64.64,73.2
1997,Greece,Operation of personal transport equipment,50.42,64.64,78.0
1997,Greece,Passenger cars,133.38,64.64,206.3
1997,Greece,Transport,62.87,64.64,97.3
1997,Greece,Passenger transport by road,41.06,64.64,63.5
1997,Greece,Passenger transport by sea and inland waterway,57.74,64.64,89.3
1997,Greece,Passenger transport by air,38.36,64.64,59.3
1997,Hungary,Transport,41.7,37.62,110.8
1997,Iceland,Passenger transport by air,36.43,44.05,82.7
1997,Iceland,Passenger cars,49.44,44.05,112.2
1997,Iceland,Transport,39.35,44.05,89.3
1997,Iceland,Passenger transport by road,34.94,44.05,79.3
1997,Iceland,Passenger transport by sea and inland waterway,45.66,44.05,103.7
1997,Iceland,Operation of personal transport equipment,36.07,44.05,81.9
1997,Ireland,Operation of personal transport equipment,56.7,70.0,81.0
1997,Ireland,Passenger cars,116.8,70.0,166.9
1997,Ireland,Passenger transport by railway,48.3,70.0,69.0
1997,Ireland,Passenger transport by sea and inland waterway,51.9,70.0,74.1
1997,Ireland,Passenger transport by air,71.3,70.0,101.9
1997,Ireland,Transport,74.3,70.0,106.1
1997,Ireland,Passenger transport by road,45.3,70.0,64.7
1997,Italy,Passenger transport by railway,61.8,69.8,88.5
1997,Italy,Passenger transport by sea and inland waterway,35.7,69.8,51.1
1997,Italy,Operation of personal transport equipment,61.2,69.8,87.7
1997,Italy,Passenger transport by road,63.4,69.8,90.8
1997,Italy,Passenger transport by air,60.6,69.8,86.8
1997,Italy,Transport,64.1,69.8,91.8
1997,Italy,Passenger cars,73.7,69.8,105.6
1997,Latvia,Passenger cars,150.11,50.49,297.3
1997,Latvia,Operation of personal transport equipment,43.38,50.49,85.9
1997,Latvia,Passenger transport by railway,26.9,50.49,53.3
1997,Latvia,Transport,50.42,50.49,99.9
1997,Latvia,Passenger transport by air,81.83,50.49,162.1
1997,Latvia,Passenger transport by road,32.58,50.49,64.5
1997,Lithuania,Passenger cars,211.48,63.56,332.7
1997,Lithuania,Passenger transport by air,62.67,63.56,98.6
1997,Lithuania,Passenger transport by railway,35.74,63.56,56.2
1997,Lithuania,Transport,55.87,63.56,87.9
1997,Lithuania,Operation of personal transport equipment,47.32,63.56,74.4
1997,Lithuania,Passenger transport by road,32.86,63.56,51.7
1997,Luxembourg,Passenger transport by road,54.17,66.54,81.4
1997,Luxembourg,Passenger transport by railway,59.3,66.54,89.1
1997,Luxembourg,Operation of personal transport equipment,61.98,66.54,93.1
1997,Luxembourg,Passenger transport by air,68.34,66.54,102.7
1997,Luxembourg,Transport,69.87,66.54,105.0
1997,Luxembourg,Passenger cars,80.63,66.54,121.2
1997,Malta,Passenger transport by road,44.81,66.19,67.7
1997,Malta,Transport,71.02,66.19,107.3
1997,Malta,Operation of personal transport equipment,49.19,66.19,74.3
1997,Malta,Passenger transport by air,83.12,66.19,125.6
1997,Malta,Passenger transport by sea and inland waterway,78.91,66.19,119.2
1997,Malta,Passenger cars,121.47,66.19,183.5
1997,Netherlands,Passenger transport by sea and inland waterway,99.33,70.11,141.7
1997,Netherlands,Passenger cars,81.02,70.11,115.6
1997,Netherlands,Passenger transport by air,51.39,70.11,73.3
1997,Netherlands,Transport,64.63,70.11,92.2
1997,Netherlands,Passenger transport by railway,58.25,70.11,83.1
1997,Netherlands,Operation of personal transport equipment,58.48,70.11,83.4
1997,Netherlands,Passenger transport by road,53.84,70.11,76.8
1997,Norway,Operation of personal transport equipment,51.6,71.8,71.9
1997,Norway,Passenger transport by air,69.2,71.8,96.4
1997,Norway,Passenger cars,82.9,71.8,115.5
1997,Norway,Passenger transport by sea and inland waterway,45.4,71.8,63.2
1997,Norway,Passenger transport by railway,58.0,71.8,80.8
1997,Norway,Passenger transport by road,46.4,71.8,64.6
1997,Norway,Transport,64.8,71.8,90.3
1997,Poland,Passenger transport by air,58.6,53.1,110.4
1997,Poland,Passenger cars,112.6,53.1,212.1
1997,Poland,Passenger transport by railway,40.0,53.1,75.3
1997,Poland,Operation of personal transport equipment,40.0,53.1,75.3
1997,Poland,Transport,49.1,53.1,92.5
1997,Poland,Passenger transport by sea and inland waterway,42.0,53.1,79.1
1997,Poland,Passenger transport by road,37.3,53.1,70.2
1997,Portugal,Operation of personal transport equipment,49.26,68.16,72.3
1997,Portugal,Passenger transport by railway,39.77,68.16,58.3
1997,Portugal,Passenger transport by sea and inland waterway,48.47,68.16,71.1
1997,Portugal,Passenger transport by air,59.92,68.16,87.9
1997,Portugal,Passenger cars,79.3,68.16,116.3
1997,Portugal,Passenger transport by road,48.42,68.16,71.0
1997,Portugal,Transport,60.03,68.16,88.1
1997,Romania,Transport,6.29,8.29,75.9
1997,Slovakia,Passenger transport by road,24.76,46.53,53.2
1997,Slovakia,Transport,63.17,46.53,135.8
1997,Slovakia,Operation of personal transport equipment,55.4,46.53,119.1
1997,Slovakia,Passenger cars,196.51,46.53,422.3
1997,Slovakia,Passenger transport by railway,32.76,46.53,70.4
1997,Slovakia,Passenger transport by air,59.96,46.53,128.9
1997,Slovenia,Transport,52.41,49.68,105.5
1997,Spain,Passenger transport by road,49.79,66.15,75.3
1997,Spain,Passenger cars,83.72,66.15,126.6
1997,Spain,Passenger transport by sea and inland waterway,44.64,66.15,67.5
1997,Spain,Passenger transport by air,33.09,66.15,50.0
1997,Spain,Operation of personal transport equipment,55.51,66.15,83.9
1997,Spain,Transport,63.24,66.15,95.6
1997,Spain,Passenger transport by railway,58.11,66.15,87.8
1997,Sweden,Transport,72.43,77.54,93.4
1997,Sweden,Passenger transport by road,58.55,77.54,75.5
1997,Sweden,Passenger cars,107.33,77.54,138.4
1997,Sweden,Operation of personal transport equipment,61.16,77.54,78.9
1997,Sweden,Passenger transport by sea and inland waterway,68.42,77.54,88.2
1997,Sweden,Passenger transport by railway,67.43,77.54,87.0
1997,Sweden,Passenger transport by air,88.62,77.54,114.3
1997,Turkey,Operation of personal transport equipment,2.47,2.92,84.6
1997,Turkey,Transport,2.89,2.92,99.0
1997,Turkey,Passenger transport by sea and inland waterway,2.71,2.92,92.8
1997,Turkey,Passenger transport by air,3.72,2.92,127.4
1997,Turkey,Passenger transport by railway,2.36,2.92,80.8
1997,Turkey,Passenger transport by road,2.3,2.92,78.8
1997,Turkey,Passenger cars,4.5,2.92,154.1
1997,United Kingdom,Passenger transport by road,50.1,70.1,71.5
1997,United Kingdom,Operation of personal transport equipment,51.6,70.1,73.6
1997,United Kingdom,Passenger transport by sea and inland waterway,46.3,70.1,66.0
1997,United Kingdom,Passenger transport by railway,48.6,70.1,69.3
1997,United Kingdom,Passenger cars,116.3,70.1,165.9
1997,United Kingdom,Transport,62.5,70.1,89.2
1997,United Kingdom,Passenger transport by air,52.6,70.1,75.0
1998,Austria,Operation of personal transport equipment,62.51,73.2,85.4
1998,Austria,Passenger transport by railway,63.23,73.2,86.4
1998,Austria,Passenger cars,92.37,73.2,126.2
1998,Austria,Passenger transport by road,64.61,73.2,88.3
1998,Austria,Transport,74.41,73.2,101.7
1998,Belgium,Transport,67.53,72.18,93.6
1998,Belgium,Passenger transport by railway,76.0,72.18,105.3
1998,Belgium,Passenger cars,83.84,72.18,116.2
1998,Belgium,Operation of personal transport equipment,57.32,72.18,79.4
1998,Belgium,Passenger transport by road,79.05,72.18,109.5
1998,Bulgaria,Passenger transport by railway,29.33,47.79,61.4
1998,Bulgaria,Passenger transport by air,69.45,47.79,145.3
